Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
671,Gyasi Zardes\09ae7f92,us USA,FW,Columbus Crew,28,1991,19,12.1,17.7,68.2,171.8,25.1,7.11,9.47,75,3.79,5.58,67.9,0.53,1.05,50,0.21,0.13,0.08,0.89,0.47,0.21,0,0.63,Matches
672,Eriq Zavaleta\edbfbb3f,sv SLV,DF,Toronto FC,27,1992,3.1,52.3,57.7,90.5,1150,252.6,13.9,13.9,100,28.1,30,93.5,9.68,12.9,75,0,0,0,0,1.94,0.32,0,1.29,Matches
673,Gedion Zelalem\b15ac68f,us USA,MF,NYCFC,23,1997,0.2,65,75,86.7,1430,350,20,30,66.7,25,25,100,15,15,100,0,0,0,0,10,0,0,10,Matches
674,Lucas Zelarayán\3ce30893,am ARM,MFFW,Columbus Crew,27,1992,11.5,30.6,40.1,76.4,590.3,161.3,14.3,16.4,86.8,11,13.4,81.8,4.96,9.13,54.3,0.17,0.25,-0.08,2.17,2.61,2.26,0.52,3.48,Matches
675,Reto Ziegler\facb3c57,ch SUI,DF,FC Dallas,34,1986,17,51.9,61.5,84.4,1206.1,403.3,11.9,12.6,94,28.2,30.3,93,11.6,17.7,65.4,0.06,0.07,-0.01,0.71,2.94,0.06,0,2.47,Matches
676,Walker Zimmerman\220fa883,us USA,DF,Nashville,26,1993,21.7,38.7,46.2,83.8,884.9,319.8,9.82,11.2,88,20.2,21.8,92.6,8.43,12.4,67.8,0,0.04,-0.04,0.37,2.72,0.14,0.05,1.94,Matches
677,Kyle Zobeck\ac341b1f,us USA,GK,FC Dallas,29,1990,3.5,24.9,32,77.7,630.9,312.6,5.71,5.71,100,13.1,13.4,97.9,6,12.9,46.7,0,0,0,0,0,0,0,0.29,Matches
678,Ethan Zubak\9f39b6cf,us USA,FW,LA Galaxy,21,1998,8.7,15.7,20.9,75.3,220.3,34,10.5,12.4,84.3,4.14,5.63,73.5,0.92,1.26,72.7,0,0.07,-0.07,0.57,0.46,0.8,0,1.15,Matches
679,Dario Župarić\c6f99e42,ba BIH,DF,Portland Timbers,27,1992,17.9,35.5,42.1,84.3,855.1,302.8,7.37,7.93,93,19.3,21.6,89.6,8.66,12.1,71.8,0,0.01,-0.01,0.22,1.62,0.11,0,1.73,Matches
680,Graham Zusi\9ba42447,us USA,DF,Sporting KC,33,1986,13.6,53.1,65.3,81.3,1107.9,341.8,18.4,20.3,90.6,25,28.2,88.8,9.41,14.8,63.7,0.07,0.12,-0.04,0.96,4.56,1.4,0.51,4.63,Matches
681,Guðmundur Þórarinsson\ded30989,is ISL,DF,NYCFC,27,1992,7.7,51.9,64.3,80.8,1007.8,335.2,21.6,24.2,89.2,22.2,26.2,84.7,7.66,12.1,63.4,0.13,0.14,-0.01,1.82,2.47,1.69,0.78,4.55,Matches
