Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
270,Emerson Hyndman\3be1a627,us USA,MF,Atlanta Utd,23,1996,15.3,728,810,89.9,14253,3617,292,310,94.2,308,329,93.6,113,147,76.9,1,1.4,-0.4,13,89,20,1,88,Matches
271,Miguel Ibarra\f6756592,us USA,FWDF,Seattle,29,1990,2.8,83,109,76.1,1318,329,46,55,83.6,29,38,76.3,5,8,62.5,0,0,0,0,3,0,0,7,Matches
272,Sebastien Ibeagha\41ba8175,us USA,DF,NYCFC,28,1992,3.2,92,106,86.8,1852,637,20,21,95.2,56,60,93.3,13,19,68.4,0,0,0,0,2,0,0,4,Matches
273,Milan Iloski\4f87c75f,us USA,FW,Real Salt Lake,20,1999,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
274,Ilsinho\aa8683ae,br BRA,FWMF,Philadelphia,34,1985,7.1,356,405,87.9,5254,1495,221,242,91.3,107,124,86.3,19,24,79.2,3,2.8,+0.2,11,24,18,0,40,Matches
275,Hwang In-beom\92fa5d28,kr KOR,MF,Vancouver,23,1996,5,238,286,83.2,4790,1191,92,100,92,106,119,89.1,37,57,64.9,1,0.3,+0.7,9,19,6,0,27,Matches
276,Emiliano Insúa\f3cccffe,ar ARG,DF,LA Galaxy,31,1989,20.9,779,977,79.7,13529,6318,383,418,91.6,321,401,80,70,133,52.6,2,2,0,23,60,19,12,77,Matches
277,Clint Irwin\c1205184,us USA,GK,Colorado Rapids,30,1989,4,88,121,72.7,2542,1572,22,22,100,29,32,90.6,37,67,55.2,0,0,0,0,0,0,0,0,Matches
278,Aljaž Ivačič\4d6e50d8,si SVN,GK,Portland Timbers,26,1993,2,42,68,61.8,1295,756,7,7,100,19,19,100,15,41,36.6,0,0,0,0,0,0,0,0,Matches
279,Anthony Jackson-Hamel\c9871e2b,ca CAN,FWDF,Montreal Impact,26,1993,2.2,36,57,63.2,482,77,27,35,77.1,7,15,46.7,2,4,50,0,0.3,-0.3,1,1,1,1,2,Matches
280,Adam Jahn\6afa14fb,us USA,FW,Atlanta Utd,29,1991,11.9,198,263,75.3,2913,328,121,143,84.6,59,83,71.1,12,20,60,1,0.3,+0.7,7,9,5,1,10,Matches
281,Dejan Jakovic\01d36542,ca CAN,DF,Los Angeles FC,34,1985,11.9,594,657,90.4,12080,4481,197,218,90.4,302,314,96.2,91,116,78.4,0,0.1,-0.1,3,44,0,0,46,Matches
282,Robin Jansson\8ca5c176,se SWE,DF,Orlando City,28,1991,22,842,939,89.7,19396,6313,188,200,94,472,495,95.4,172,228,75.4,0,0.3,-0.3,2,34,0,0,30,Matches
283,Franco Jara\413cce14,ar ARG,FW,FC Dallas,31,1988,15.3,231,304,76,3694,517,116,139,83.5,83,104,79.8,21,30,70,0,1.2,-1.2,15,14,7,0,16,Matches
284,David Jensen\1739b660,dk DEN,GK,NY Red Bulls,27,1992,10.3,129,248,52,5167,3829,21,21,100,33,35,94.3,75,192,39.1,0,0,0,0,8,0,0,0,Matches
285,Hector Jiménez\2dc1e90e,us USA,DF,Columbus Crew,31,1988,4.2,165,205,80.5,3145,1075,67,73,91.8,77,90,85.6,20,34,58.8,1,0.6,+0.4,8,8,6,2,18,Matches
286,Sam Johnson\c423d845,lr LBR,FW,Real Salt Lake,26,1993,3.7,47,78,60.3,644,77,28,43,65.1,13,21,61.9,3,6,50,0,0.2,-0.2,4,1,2,0,2,Matches
287,Sean Johnson\c164335e,us USA,GK,NYCFC,30,1989,23,577,772,74.7,15916,8920,95,95,100,310,314,98.7,168,358,46.9,0,0,0,0,5,0,0,0,Matches
288,Alistair Johnston\4fb17e20,ca CAN,DF,Nashville,21,1998,15.2,591,763,77.5,10625,3898,270,303,89.1,250,300,83.3,63,134,47,0,1,-1,13,32,14,5,40,Matches
289,DeJuan Jones\10d1139c,us USA,DF,New England,22,1997,12.6,583,765,76.2,10459,4655,277,320,86.6,238,295,80.7,59,115,51.3,0,0.8,-0.8,17,48,20,8,73,Matches
290,Derrick Jones\93c92d6c,us USA,MFFW,Nashville,22,1997,10.1,279,339,82.3,4347,862,145,167,86.8,110,132,83.3,13,20,65,2,0.9,+1.1,7,20,7,1,27,Matches
291,Joevin Jones\fc23d956,tt TRI,FWDF,Seattle,28,1991,9.2,407,467,87.2,6754,2119,202,218,92.7,167,184,90.8,28,40,70,2,0.3,+1.7,4,18,6,2,21,Matches
292,Siem de Jong\cf2a6ace,nl NED,MFFW,FC Cincinnati,31,1989,8.8,187,248,75.4,3736,834,77,91,84.6,83,108,76.9,23,37,62.2,0,0.4,-0.4,6,20,0,0,13,Matches
293,Judson\e1535f82,br BRA,MF,San Jose,26,1993,18.8,935,1055,88.6,21510,4596,269,300,89.7,424,461,92,239,279,85.7,0,0,0,2,71,2,0,46,Matches
294,Florian Jungwirth\f179c207,de GER,DF,San Jose,31,1989,17.9,903,1024,88.2,21280,6152,181,199,91,500,526,95.1,219,280,78.2,0,0.1,-0.1,4,59,0,0,52,Matches
295,Sam Junqua\91981d97,us USA,DFMF,Houston Dynamo,23,1996,2.8,73,101,72.3,1193,408,38,44,86.4,25,37,67.6,6,12,50,0,0,0,1,5,1,0,8,Matches
296,Mathias Jørgensen\a854969f,dk DEN,FW,NY Red Bulls,19,2000,3,20,43,46.5,262,47,14,29,48.3,6,11,54.5,0,1,0,0,0.1,-0.1,1,0,1,1,0,Matches
297,Kaku\cb01ad74,py PAR,MF,NY Red Bulls,25,1995,12,450,658,68.4,7970,3228,227,276,82.2,149,224,66.5,63,126,50,3,3.6,-0.6,29,64,30,6,89,Matches
298,Brent Kallman\2b24702b,us USA,DF,Minnesota Utd,29,1990,3,89,113,78.8,2024,740,27,35,77.1,46,51,90.2,15,26,57.7,0,0,0,0,10,0,0,7,Matches
299,Kei Kamara\6e3f3809,sl SLE,FW,Colorado Rapids,35,1984,5.8,121,152,79.6,1917,222,71,86,82.6,40,49,81.6,10,11,90.9,1,0.5,+0.5,8,10,2,0,8,Matches
300,Kei Kamara\6e3f3809,sl SLE,FW,Minnesota Utd,35,1984,5,93,123,75.6,1446,290,53,66,80.3,22,32,68.8,13,15,86.7,0,0.8,-0.8,4,6,3,0,13,Matches
